name,location,price,area_type,area,bhk
"Experion Windchants
3.9","2 BHK Flat in Sector 112, Gurgaon",₹4 Cr,Super Built-up Area,"2,441 sqft
(227 sqm)","2 BHK
(2 Baths)"
"Smart World Orchard
3.7","3 BHK Flat in Sector 61, Gurgaon",₹2.7 Cr,Carpet Area,"1,712 sqft
(159 sqm)","3 BHK
(3 Baths)"
"Emaar MGF Emerald Estate
3.7","3 BHK Flat in Sector 65, Gurgaon",₹2.49 Cr,Super Built-up Area,"1,395 sqft
(130 sqm)","3 BHK
(3 Baths)"
"Sobha City
3.7","3 BHK Flat in Sector 108, Gurgaon",₹3.35 Cr,Super Built-up Area,"1,711 sqft
(159 sqm)","3 BHK
(3 Baths)"
"Sobha City
3.7","3 BHK Flat in Sector 108, Gurgaon",₹4.15 Cr,Super Built-up Area,"2,072 sqft
(193 sqm)","3 BHK
(4 Baths)"
"Bestech Park View City 2
4.0","4 BHK Flat in Sector 49, Gurgaon",₹4.4 Cr,Super Built-up Area,"2,383 sqft
(221 sqm)","4 BHK
(5 Baths)"
"Bestech Park View Spa Next
3.8","3 BHK Flat in Sector 67, Gurgaon",₹3.1 Cr,Super Built-up Area,"1,965 sqft
(183 sqm)","3 BHK
(3 Baths)"
"M3M Woodshire
4.1","4 BHK Flat in Sector 107, Gurgaon",₹3.1 Cr,Super Built-up Area,"2,768 sqft
(257 sqm)","4 BHK
(5 Baths)"
"Ireo Victory Valley
4.0","3 BHK Flat in Sector 67, Gurgaon",₹4.49 Cr,Super Built-up Area,"2,411 sqft
(224 sqm)","3 BHK
(3 Baths)"
DLF Regal Gardens,"3 BHK Flat in Sector 90, Gurgaon",₹2.1 Cr,Super Built-up Area,"1,737 sqft
(161 sqm)","3 BHK
(3 Baths)"
"Experion Windchants
3.9","3 BHK Flat in Sector 112, Gurgaon",₹4.75 Cr,Super Built-up Area,"2,802 sqft
(260 sqm)","3 BHK
(3 Baths)"
"Bestech Park View Spa Next
3.8","3 BHK Flat in Sector 67, Gurgaon",₹2.99 Cr,Super Built-up Area,"1,935 sqft
(180 sqm)","3 BHK
(4 Baths)"
"SS The Leaf
4.1","3 BHK Flat in Sector 85, Gurgaon",₹2.77 Cr,Super Built-up Area,"2,408 sqft
(224 sqm)","3 BHK
(4 Baths)"
"DLF The Ultima
4.1","4 BHK Flat in Sector 81, Gurgaon",₹4.8 Cr,Super Built-up Area,"2,872 sqft
(267 sqm)","4 BHK
(4 Baths)"
"Emaar MGF The Palm Drive
4.0","3 BHK Flat in Sector 66, Gurgaon",₹4.3 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(3 Baths)"
"Vatika Sovereign Park
3.9","4 BHK Flat in Sector 99, Gurgaon",₹4.19 Cr,Super Built-up Area,"3,360 sqft
(312 sqm)","4 BHK
(4 Baths)"
Greenopolis,"3 BHK Flat in Sector 89, Gurgaon",₹1.55 Cr,Super Built-up Area,"1,957 sqft
(182 sqm)","3 BHK
(4 Baths)"
"Vatika Sovereign Park
3.9","3 BHK Flat in Sector 99, Gurgaon",₹3.47 Cr,Super Built-up Area,"2,780 sqft
(258 sqm)","3 BHK
(3 Baths)"
"DLF The Primus
4.0","3 BHK Flat in Sector 82A, Gurgaon",₹3.7 Cr,Super Built-up Area,"2,086 sqft
(194 sqm)","3 BHK
(4 Baths)"
"DLF The Primus
4.0","4 BHK Flat in Sector 82A, Gurgaon",₹3.91 Cr,Super Built-up Area,"2,306 sqft
(214 sqm)","4 BHK
(4 Baths)"
"Sobha City
3.7","3 BHK Flat in Sector 108, Gurgaon",₹4.11 Cr,Super Built-up Area,"2,072 sqft
(193 sqm)","3 BHK
(4 Baths)"
"Bestech Park View Grand Spa
4.2","3 BHK Flat in Sector 81, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,660 sqft
(247 sqm)","3 BHK
(4 Baths)"
"Sobha City
3.7","3 BHK Flat in Sector 108, Gurgaon",₹3.25 Cr,Super Built-up Area,"1,711 sqft
(159 sqm)","3 BHK
(3 Baths)"
"M3M Heights
3.7","2 BHK Flat in Sector 65, Gurgaon",₹2.4 Cr,Super Built-up Area,"1,261 sqft
(117 sqm)","2 BHK
(2 Baths)"
